               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026577,              0.0187,                   0,             0.85799,             0.71498,             0.80553,             0.62745,            0.034674,            0.015253,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.025522,            0.019636,                   0,             0.81274,             0.74479,             0.78677,             0.62493,            0.034534,            0.015921,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.025922,            0.018961,                   0,              0.8611,             0.71598,             0.76041,             0.61294,            0.035621,              0.0152,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.025989,            0.018182,                   0,              0.8302,             0.76923,             0.79493,              0.6435,            0.033776,            0.014699,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026318,            0.018375,                   0,             0.87828,             0.70414,             0.78912,             0.62858,             0.03548,            0.015569,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.025448,            0.018248,                   0,              0.8301,             0.73964,             0.79012,             0.62065,            0.034114,            0.015581,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.026044,            0.018986,                   0,             0.83952,             0.83579,             0.83207,             0.67547,            0.033827,            0.013399,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.025644,            0.018159,                   0,             0.88513,             0.68639,             0.74862,             0.61318,            0.035135,            0.017516,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.02463,            0.018239,                   0,             0.84896,             0.79825,             0.81214,              0.6536,            0.036453,            0.014486,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.024296,            0.018289,                   0,             0.83691,              0.7574,             0.80057,             0.63996,             0.03664,            0.016117,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.024464,            0.018218,                   0,              0.8373,             0.79176,             0.83542,             0.67538,            0.034749,            0.015194,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.025553,            0.018407,                   0,             0.84248,             0.74556,             0.81739,              0.6691,            0.036187,            0.016465,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.02479,            0.017875,                   0,             0.83579,             0.76923,             0.80922,             0.65977,            0.035494,            0.015224,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.02511,            0.018563,                   0,             0.86638,             0.72781,             0.82111,             0.66794,            0.035402,            0.015819,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02493,            0.018553,                   0,              0.8584,             0.72189,             0.79554,             0.62476,            0.036382,            0.015907,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.024773,            0.018127,                   0,             0.79722,             0.74556,             0.79261,             0.65535,            0.034304,            0.016539,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.023575,            0.017962,                   0,             0.88688,             0.69822,             0.80599,             0.64531,            0.035599,            0.016027,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.024307,            0.018166,                   0,             0.81591,             0.81298,             0.83053,             0.66138,            0.033926,            0.015352,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.024564,            0.017185,                   0,             0.86292,              0.7077,             0.77981,             0.62391,            0.035311,            0.017729,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.024749,             0.01721,                   0,             0.90835,             0.70377,             0.80753,              0.6508,            0.035442,            0.016161,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.024723,            0.017456,                   0,             0.91478,             0.73373,             0.81981,             0.67241,            0.034719,            0.015514,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.022839,            0.016702,                   0,             0.90534,             0.69822,             0.79235,              0.6451,            0.033966,            0.016204,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.024097,            0.017846,                   0,             0.85421,             0.70414,             0.77919,             0.63504,            0.034024,            0.016418,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.022911,            0.017035,                   0,             0.86318,             0.70928,             0.77547,             0.61509,            0.035973,            0.018001,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.023621,            0.016542,                   0,             0.84824,             0.73964,             0.81096,             0.65007,            0.033929,            0.017695,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.022868,            0.017796,                   0,             0.82741,             0.72781,             0.79928,             0.63677,            0.034493,            0.019082,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.022737,            0.016398,                   0,             0.84883,             0.71006,              0.7909,             0.62858,            0.034219,            0.018492,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.023399,            0.017668,                   0,             0.82854,             0.74342,             0.81808,             0.64847,            0.034694,            0.016803,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02346,            0.016201,                   0,             0.88045,             0.65367,             0.70604,             0.56883,            0.037441,            0.018733,                   0,            0.007822,            0.007822,            0.007822
