               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024001,             0.01971,           0.0038614,             0.93251,             0.75257,             0.79191,             0.55845,            0.025825,            0.010361,           0.0037449,            0.006535,            0.006535,            0.006535
                  37,            0.024049,            0.019721,           0.0038624,              0.9071,             0.85277,             0.86347,             0.60125,            0.026142,            0.010354,           0.0036576,            0.006436,            0.006436,            0.006436
                  38,            0.023639,            0.019763,           0.0036511,             0.79121,             0.85661,             0.86883,             0.61285,             0.02585,            0.010164,           0.0035255,            0.006337,            0.006337,            0.006337
                  39,            0.023614,            0.019489,           0.0037174,             0.91801,             0.84565,             0.86925,              0.6171,            0.024224,            0.010148,            0.003431,            0.006238,            0.006238,            0.006238
                  40,            0.023553,            0.019685,           0.0037998,             0.90155,             0.84107,             0.86589,              0.6047,            0.025458,            0.010117,           0.0037378,            0.006139,            0.006139,            0.006139
                  41,             0.02353,            0.019291,           0.0037394,             0.87219,             0.82856,             0.86459,             0.60262,            0.025825,            0.010072,           0.0034637,             0.00604,             0.00604,             0.00604
                  42,            0.023157,            0.019131,           0.0036373,              0.8948,             0.85364,             0.86383,             0.58625,            0.026141,            0.010344,           0.0036149,            0.005941,            0.005941,            0.005941
                  43,            0.023181,            0.019285,           0.0035795,             0.89886,             0.84511,             0.86207,             0.61213,            0.025304,            0.010432,           0.0036179,            0.005842,            0.005842,            0.005842
                  44,             0.02274,            0.018846,           0.0035428,             0.87865,              0.8653,             0.86562,             0.60262,             0.02611,            0.010423,           0.0037021,            0.005743,            0.005743,            0.005743
                  45,            0.022695,             0.01894,           0.0034621,             0.90598,             0.83906,             0.86161,             0.61352,             0.02501,            0.010445,           0.0035907,            0.005644,            0.005644,            0.005644
                  46,            0.022528,              0.0189,           0.0037096,             0.92228,              0.8446,             0.86426,             0.60733,            0.024378,            0.010168,             0.00348,            0.005545,            0.005545,            0.005545
                  47,             0.02245,            0.018768,           0.0033812,             0.69223,             0.87229,              0.8149,             0.57375,            0.025321,            0.010348,           0.0035485,            0.005446,            0.005446,            0.005446
                  48,            0.022246,            0.018611,           0.0035135,             0.90549,             0.84676,              0.8644,             0.60953,            0.024436,            0.010275,           0.0036544,            0.005347,            0.005347,            0.005347
                  49,             0.02216,            0.018473,           0.0035149,             0.89612,             0.85145,             0.86287,             0.61379,            0.025262,            0.010371,           0.0036546,            0.005248,            0.005248,            0.005248
                  50,            0.022095,            0.018628,           0.0034227,             0.90241,             0.84204,             0.86263,             0.59919,              0.0254,            0.010591,           0.0039147,            0.005149,            0.005149,            0.005149
                  51,            0.021929,            0.018356,           0.0034549,             0.91185,             0.83837,             0.86541,             0.62939,            0.023617,             0.01006,           0.0036916,             0.00505,             0.00505,             0.00505
